benchmark,machine,rid,actual_runtime,predicted_runtime,prediction_error,cluster_weight,average_runtime,method
,summer,795,12570122794395.0,-1,-1,901,13416135.0,
,summer,6562,12570122794395.0,-1,-1,679,7360841110.0,
,summer,2820,12570122794395.0,-1,-1,2945,118844172.0,
,summer,1345,12570122794395.0,-1,-1,71,104120595.0,
,summer,5710,12570122794395.0,-1,-1,103,90132906.0,
,summer,6017,12570122794395.0,-1,-1,73,7160991070.0,
,summer,3730,12570122794395.0,-1,-1,18,71837698.0,
,summer,5293,12570122794395.0,-1,-1,78,7442725211.0,
,summer,1338,12570122794395.0,-1,-1,71,98755619.0,
,summer,5075,12570122794395.0,-1,-1,34,66728642.0,
,summer,1979,12570122794395.0,-1,-1,73,100900350.0,
,summer,6024,12570122794395.0,-1,-1,73,7318829260.0,
,summer,3127,12570122794395.0,-1,-1,44,74471522.0,
,summer,223,12570122794395.0,-1,-1,82,106216194.0,
,summer,5816,12570122794395.0,-1,-1,75,7222097280.0,
,summer,6552,12570122794395.0,-1,-1,58,70552807.0,
,summer,5823,12570122794395.0,-1,-1,72,7277437899.0,
,summer,3141,12570122794395.0,-1,-1,57,87438162.0,
,summer,309,12570122794395.0,-1,-1,72,6721056282.0,
,summer,483,12570122794395.0,-1,-1,61,89552006.0,
,summer,5837,12570122794395.0,-1,-1,72,7224322658.0,
,summer,1927,12570122794395.0,-1,-1,52,103454903.0,
,summer,6059,12570122794395.0,-1,-1,72,7181368577.0,
,summer,4299,12570122794395.0,-1,-1,53,112372509.0,
,summer,6066,12570122794395.0,-1,-1,73,7173830709.0,
,summer,5984,12570122794395.0,-1,-1,64,122729680.0,
,summer,4832,12570122794395.0,-1,-1,72,7208817385.0,
,summer,5776,12570122794395.0,-1,-1,72,125879086.0,
,summer,4236,12570122794395.0,-1,-1,103,7231155853.0,
,summer,6899,12570122794395.0,-1,-1,84,134225050.0,
,summer,3056,12570122794395.0,-1,-1,86,7260754212.0,
,summer,4680,12570122794395.0,-1,-1,30,70351043.0,
,summer,3511,12570122794395.0,-1,-1,77,7240039595.0,
,summer,3508,12570122794395.0,-1,-1,28,71981052.0,
,summer,3655,12570122794395.0,-1,-1,76,99949950.0,
,summer,1746,12570122794395.0,-1,-1,36,75677327.0,
,summer,6740,12570122794395.0,-1,-1,101,83437927.0,
,summer,4917,12570122794395.0,-1,-1,97,108932087.0,
,summer,6247,12570122794395.0,-1,-1,36,79685680.0,
,summer,2017,12570122794395.0,-1,-1,45,103340120.0,
,summer,5858,12570122794395.0,-1,-1,72,7096820367.0,
,summer,1968,12570122794395.0,-1,-1,38,71272259.0,
,summer,4874,12570122794395.0,-1,-1,14,9385722.0,
,summer,4619,12570122794395.0,-1,-1,47,10631200.0,
,summer,5389,12570122794395.0,-1,-1,8,12481455.0,
,summer,6961,12570122794395.0,-1,-1,8,75591870.0,
,summer,1797,12570122794395.0,-1,-1,5,12017851.0,
,summer,1830,12570122794395.0,-1,-1,5,91495477.0,
,summer,2824,12570122794395.0,-1,-1,10,12674405.0,
,summer,2857,12570122794395.0,-1,-1,10,117924376.0,
,summer,-1,12570122794395.0,13212321484817.0,5.10892933128987,-1,-1.0,
,saphir,795,5322398289866.0,-1,-1,901,19364221.0,
,saphir,6562,5322398289866.0,-1,-1,679,2863544470.0,
,saphir,2820,5322398289866.0,-1,-1,2945,61448647.0,
,saphir,1345,5322398289866.0,-1,-1,71,56421326.0,
,saphir,5710,5322398289866.0,-1,-1,103,50459145.0,
,saphir,6017,5322398289866.0,-1,-1,73,2827663692.0,
,saphir,3730,5322398289866.0,-1,-1,18,58377360.0,
,saphir,5293,5322398289866.0,-1,-1,78,2880227823.0,
,saphir,1338,5322398289866.0,-1,-1,71,55122527.0,
,saphir,5075,5322398289866.0,-1,-1,34,66457441.0,
,saphir,1979,5322398289866.0,-1,-1,73,54487730.0,
,saphir,6024,5322398289866.0,-1,-1,73,2828326509.0,
,saphir,3127,5322398289866.0,-1,-1,44,61831881.0,
,saphir,223,5322398289866.0,-1,-1,82,57620081.0,
,saphir,5816,5322398289866.0,-1,-1,75,2824169949.0,
,saphir,6552,5322398289866.0,-1,-1,58,61532025.0,
,saphir,5823,5322398289866.0,-1,-1,72,2816841433.0,
,saphir,3141,5322398289866.0,-1,-1,57,58559188.0,
,saphir,309,5322398289866.0,-1,-1,72,2785598125.0,
,saphir,483,5322398289866.0,-1,-1,61,56827392.0,
,saphir,5837,5322398289866.0,-1,-1,72,2807609797.0,
,saphir,1927,5322398289866.0,-1,-1,52,66679490.0,
,saphir,6059,5322398289866.0,-1,-1,72,2804587218.0,
,saphir,4299,5322398289866.0,-1,-1,53,68435409.0,
,saphir,6066,5322398289866.0,-1,-1,73,2806482244.0,
,saphir,5984,5322398289866.0,-1,-1,64,71551224.0,
,saphir,4832,5322398289866.0,-1,-1,72,2796943601.0,
,saphir,5776,5322398289866.0,-1,-1,72,81045675.0,
,saphir,4236,5322398289866.0,-1,-1,103,2789767142.0,
,saphir,6899,5322398289866.0,-1,-1,84,81592708.0,
,saphir,3056,5322398289866.0,-1,-1,86,2835515418.0,
,saphir,4680,5322398289866.0,-1,-1,30,58891398.0,
,saphir,3511,5322398289866.0,-1,-1,77,2873718966.0,
,saphir,3508,5322398289866.0,-1,-1,28,57877484.0,
,saphir,3655,5322398289866.0,-1,-1,76,54233481.0,
,saphir,1746,5322398289866.0,-1,-1,36,62285326.0,
,saphir,6740,5322398289866.0,-1,-1,101,48965572.0,
,saphir,4917,5322398289866.0,-1,-1,97,58760566.0,
,saphir,6247,5322398289866.0,-1,-1,36,62866519.0,
,saphir,2017,5322398289866.0,-1,-1,45,67897679.0,
,saphir,5858,5322398289866.0,-1,-1,72,2795099934.0,
,saphir,1968,5322398289866.0,-1,-1,38,55990761.0,
,saphir,4874,5322398289866.0,-1,-1,14,14703558.0,
,saphir,4619,5322398289866.0,-1,-1,47,14492552.0,
,saphir,5389,5322398289866.0,-1,-1,8,17329444.0,
,saphir,6961,5322398289866.0,-1,-1,8,63698438.0,
,saphir,1797,5322398289866.0,-1,-1,5,17195208.0,
,saphir,1830,5322398289866.0,-1,-1,5,62516795.0,
,saphir,2824,5322398289866.0,-1,-1,10,17898548.0,
,saphir,2857,5322398289866.0,-1,-1,10,72367311.0,
,saphir,-1,5322398289866.0,5252814375595.0,-1.3073789386166343,-1,-1.0,
